Soil_Moisture,Crop_Growth_Stage,sol_chaud_sec,Mulching_Used,Wind_Speed_kmh,Rainfall_mm,Temperature_C,besoin_eau
8.78,2,25.505112,1,12.87,2423.51,27.96,0
61.71,3,10.518263,0,19.4,1930.96,27.47,1
26.18,3,10.600552,0,5.32,2234.3,14.36,0
38.28,1,12.22056,0,17.14,860.2,19.8,0
22.94,0,27.441066,0,1.88,301.2,35.61,1
8.6,2,32.39216,0,19.65,169.75,35.44,1
16.51,1,23.87814,1,11.36,394.65,28.6,0
61.18,0,10.221305999999998,0,15.49,760.06,26.33,1
51.89,2,15.823379,1,2.49,1946.78,32.89,0
24.58,0,21.147768,0,12.71,1908.56,28.04,1
28.49,3,27.395481000000004,0,1.78,10.94,38.31,1
16.98,0,25.952052,1,3.56,1423.24,31.26,1
36.11,3,11.378809,1,5.93,666.94,17.81,0
28.68,0,18.992516,0,14.66,512.23,26.63,1
49.59,1,10.303804,0,10.11,767.74,20.44,0
8.14,1,21.026754,0,11.35,1523.2,22.89,1
36.63,3,12.192387999999998,1,5.14,1034.0,19.24,0
48.1,0,17.36055,0,11.1,379.62,33.45,1
13.4,2,26.5862,1,2.84,351.02,30.7,0
36.16,3,26.538288000000005,1,12.23,2366.75,41.57,1
50.29,1,19.710015,0,1.71,1100.08,39.65,0
11.83,0,35.673582,1,14.82,1503.79,40.46,1
39.63,0,17.151116999999996,1,19.93,1441.31,28.41,0
56.83,3,14.997258,0,14.79,1316.0,34.74,1
48.39,2,10.585211,1,19.89,1452.24,20.51,0
40.22,0,20.642034,1,8.44,352.06,34.53,0
56.62,3,9.929682,1,1.11,678.35,22.89,0
46.18,1,13.05135,0,11.93,1766.05,24.25,0
42.68,2,7.9044279999999985,1,4.79,1246.11,13.79,0
39.35,2,13.979825000000002,1,14.25,467.75,23.05,0
29.7,0,22.840470000000003,1,2.46,2352.15,32.49,0
44.97,3,21.731347000000003,1,14.74,2307.03,39.49,1
26.51,1,15.697464,0,18.07,2375.8,21.36,0
57.67,3,15.640935,0,0.79,559.24,36.95,1
17.55,1,32.740895,0,6.59,0.38,39.71,1
37.54,3,24.840342000000003,0,8.71,1593.18,39.77,1
10.16,3,17.204359999999998,0,5.51,1027.59,19.15,1
24.83,0,10.110365,0,9.37,1169.62,13.45,1
11.24,3,29.033396,1,2.59,556.79,32.71,1
33.09,1,20.079691,1,8.32,178.28,30.01,0
25.33,3,14.680122,1,14.1,999.62,19.66,0
21.73,1,14.511257999999998,0,5.1,140.92,18.54,1
9.51,2,11.917533,1,11.09,2216.44,13.17,0
43.23,3,21.521507000000003,1,15.28,1364.03,37.91,1
45.03,0,20.360888,0,5.28,1595.37,37.04,1
17.67,3,16.737688999999996,0,16.89,1936.15,20.33,1
29.77,2,18.709272,1,0.9,2106.18,26.64,0
48.24,3,11.785752,1,9.63,2101.95,22.77,0
64.84,3,6.933551999999998,1,11.22,1797.78,19.72,0
39.12,1,23.968456,0,16.04,1608.82,39.37,0
20.14,2,19.789308,0,14.04,370.22,24.78,1
29.79,2,11.121263999999998,1,14.18,746.07,15.84,0
56.44,3,14.191847999999998,0,14.76,1370.07,32.58,1
9.94,0,24.388248,0,17.31,799.96,27.08,1
26.63,0,23.397693,1,14.65,1944.94,31.89,1
44.97,2,20.817849,0,7.7,1808.68,37.83,0
17.19,2,23.584288,0,11.29,674.65,28.48,1
42.69,3,9.1696,0,17.83,292.44,16.0,1
12.76,1,20.10882,1,16.58,2259.51,23.05,0
56.88,0,15.963024000000004,0,15.01,611.57,37.02,1
61.13,1,12.006942999999998,0,7.21,417.92,30.89,0
12.39,0,25.950082,0,12.1,653.21,29.62,1
51.51,3,8.606975,0,15.17,2174.32,17.75,1
20.09,2,25.81093,1,18.99,1354.0,32.3,1
43.98,1,7.618720000000001,1,6.06,285.58,13.6,0
31.76,3,9.226048,1,1.15,682.71,13.52,0
12.44,2,11.093852,0,15.7,2016.27,12.67,1
39.79,1,12.222630000000002,0,12.53,1935.7,20.3,0
32.57,3,18.698339,1,14.62,1001.57,27.73,0
29.24,0,15.821936,0,7.26,2105.13,22.36,0
11.04,1,14.349247999999998,1,10.12,1706.5,16.13,0
59.2,3,7.119599999999998,1,12.88,1022.84,17.45,0
28.13,1,15.272375,0,2.78,914.1,21.25,0
62.16,2,13.936472000000002,0,6.71,563.4,36.83,0
37.4,3,23.45622,0,0.92,1322.47,37.47,1
50.96,2,12.019704,0,5.16,484.04,24.51,0
38.13,0,7.906986,1,17.86,1886.34,12.78,0
46.79,3,17.862597,1,3.28,34.54,33.57,1
48.62,1,21.343252,0,16.55,185.74,41.54,1
21.72,1,12.728328,0,16.42,1831.62,16.26,1
28.81,1,29.878443,0,19.45,1533.3,41.97,0
18.18,1,15.005788,0,17.08,2377.44,18.34,1
21.97,3,26.101035000000003,0,10.82,1867.85,33.45,1
21.42,1,16.486083999999998,0,15.77,1575.52,20.98,1
17.98,0,17.59329,1,2.06,31.71,21.45,1
39.76,2,9.692616,1,4.57,302.52,16.09,0
47.06,1,7.88806,0,11.08,312.59,14.9,0
45.72,1,14.020523999999998,1,0.54,2396.1,25.83,0
59.54,2,14.395667999999995,1,19.3,2051.37,35.58,0
52.7,3,14.5211,1,8.43,242.3,30.7,1
31.27,3,24.034881,0,4.38,448.74,34.97,1
22.63,2,23.860908,0,14.49,629.33,30.84,1
36.12,0,18.870152,1,7.27,138.43,29.54,1
28.51,1,29.032089,1,8.52,856.61,40.61,0
24.77,2,10.660091,1,3.83,113.68,14.17,1
39.49,0,23.786481,1,7.16,232.17,39.31,1
50.09,3,10.990182,1,19.7,343.9,22.02,0
18.67,1,18.78723,0,8.64,1871.45,23.1,0
20.92,0,11.039568,1,10.7,1102.65,13.96,1
37.26,3,8.50127,1,15.83,1432.02,13.55,0
50.5,3,17.2161,0,6.75,1778.24,34.78,1
35.41,0,17.013006,1,14.25,871.41,26.34,0
20.8,1,29.12976,1,4.32,1420.87,36.78,0
13.11,2,10.930762,1,10.92,502.83,12.58,0
39.89,0,13.488684,0,2.16,1368.0,22.44,0
22.35,0,12.65695,1,5.46,1774.62,16.3,1
55.12,2,10.789152,1,7.79,2054.28,24.04,0
25.6,0,19.25472,0,15.51,89.0,25.88,1
19.39,3,20.023524,1,5.32,1390.93,24.84,1
26.98,1,21.06627,0,15.0,96.1,28.85,1
38.49,2,11.151763,0,4.96,1317.97,18.13,0
12.3,3,19.74127,0,14.56,1073.26,22.51,1
25.61,1,10.979964,0,4.96,1759.99,14.76,0
